unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,year,unit,predicted_crime,scenario
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,BAZA_2024_STABILNE
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,BAZA_2024_STABILNE
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,BAZA_2024_STABILNE
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,26.43048349206349,BAZA_2024_STABILNE
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.43048349206349,BAZA_2024_STABILNE
5.52,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.165856349206337,unemployment_x1.2
5.52,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.165856349206337,unemployment_x1.2
5.52,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.165856349206337,unemployment_x1.2
5.52,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,26.165856349206337,unemployment_x1.2
5.52,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.165856349206337,unemployment_x1.2
4.6,172.56,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.440053492063488,population_density_x1.2
4.6,172.56,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.440053492063488,population_density_x1.2
4.6,172.56,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.440053492063488,population_density_x1.2
4.6,172.56,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,26.440053492063488,population_density_x1.2
4.6,172.56,8867.46,251737392.07,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.440053492063488,population_density_x1.2
4.6,143.8,10640.952,251737392.07,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,avg_salary_x1.2
4.6,143.8,10640.952,251737392.07,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,avg_salary_x1.2
4.6,143.8,10640.952,251737392.07,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,avg_salary_x1.2
4.6,143.8,10640.952,251737392.07,1356576985.57,2318.0,42.5,103.3,2028,Dolnośląskie,26.43048349206349,avg_salary_x1.2
4.6,143.8,10640.952,251737392.07,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.43048349206349,avg_salary_x1.2
4.6,143.8,8867.46,302084870.48399997,1356576985.57,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,public_safety_exp_x1.2
4.6,143.8,8867.46,302084870.48399997,1356576985.57,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,public_safety_exp_x1.2
4.6,143.8,8867.46,302084870.48399997,1356576985.57,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,public_safety_exp_x1.2
